Name*,Formula*,Strength?,Acid / Base!,Structure&
perchloric acid,HClO₄,strong,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/perchloric acid/PNG
hydroiodic acid,HI,strong,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydroiodic acid/PNG
hydrobromic acid,HBr,strong,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydrobromic acid/PNG
hydrochloric acid,HCl,strong,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydrochloric acid/PNG
sulfuric acid,H₂SO₄,strong,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/sulfuric acid/PNG
nitric acid,HNO₃,strong,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/nitric acid/PNG
chloric acid,HClO₃,strong,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/chloric acid/PNG
cesium hydroxide,CsOH,strong,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cesium hydroxide/PNG
rubidium hydroxide,RbOH,strong,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/rubidium hydroxide/PNG
lithium hydroxide,LiOH,strong,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/lithium hydroxide/PNG
sodium hydroxide,NaOH,strong,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/sodium hydroxide/PNG
barium hydroxide,Ba(OH)₂,strong,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/barium hydroxide/PNG
strontium hydroxide,Sr(OH)₂,strong,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/strontium dihydroxide/PNG
potassium hydroxide,KOH,strong,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/potassium hydroxide/PNG
calcium hydroxide,Ca(OH)₂,strong,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/calcium hydroxide/PNG
hydrofluoric acid,HF,weak,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydrofluoric acid/PNG
sulfurous acid,H₂SO₃,weak,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/sulfurous acid/PNG
phosphoric acid,H₃PO₄,weak,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/phosphoric acid/PNG
nitrous acid,HNO₂,weak,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/nitrous acid/PNG
carbonic acid,H₂CO₃,weak,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/carbonic acid/PNG
hydrocyanic acid,HCN,weak,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydrocyanic acid/PNG
hydrosulfuric acid,H₂S,weak,acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydrosulfuric acid/PNG
ammonium hydroxide,NH₄OH,weak,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ammonium hydroxide/PNG
ammonia,NH₃,weak,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ammonia/PNG
aluminum hydroxide,Al(OH)₃,weak,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/aluminum hydroxide/PNG
magnesium hydroxide,Mg(OH)₂,weak,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/magnesium hydroxide/PNG
sodium bicarbonate,NaHCO₃,weak,base,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/sodium bicarbonate/PNG
