Compound*,Solubility?
NH₄F,soluble
LiF,partially soluble
NaF,soluble
KF,soluble
MgF₂,insoluble
CaF₂,insoluble
BaF₂,partially soluble
FeF₂,partially soluble
FeF₃,partially soluble
CuF₂,soluble
AgF,soluble
ZnF₃,soluble
PbF₂,insoluble
AlF₃,partially soluble
NH₄Cl,soluble
LiCl,soluble
NaCl,soluble
KCl,soluble
MgCl₂,soluble
CaCl₂,soluble
BaCl₂,soluble
FeCl₂,soluble
FeCl₃,soluble
CuCl₂,soluble
AgCl,insoluble
ZnCl₃,soluble
PbCl₂,insoluble
AlCl₃,soluble
NH₄Br,soluble
LiBr,soluble
NaBr,soluble
KBr,soluble
MgBr₂,soluble
CaBr₂,soluble
BaBr₂,soluble
FeBr₂,soluble
FeBr₃,soluble
CuBr₂,soluble
AgBr,insoluble
ZnBr₃,soluble
PbBr₂,partially soluble
AlBr₃,soluble
NH₄I,soluble
LiI,soluble
NaI,soluble
KI,soluble
MgI₂,soluble
CaI₂,soluble
BaI₂,soluble
FeI₂,soluble
AgI,insoluble
PbI₂,insoluble
AlI₃,soluble
NH₄ClO₃,soluble
LiClO₃,soluble
NaClO₃,soluble
KClO₃,soluble
Mg(ClO₃)₂,soluble
Ca(ClO₃)₂,soluble
Ba(ClO₃)₂,soluble
Fe(ClO₃)₃,soluble
AgClO₃,soluble
Pb(ClO₃)₂,soluble
Al(ClO₃)₃,soluble
NH₄OH,soluble
LiOH,soluble
NaOH,soluble
KOH,soluble
Mg(OH)₂,insoluble
Ca(OH)₂,partially soluble
Ba(OH)₂,soluble
Fe(OH)₂,insoluble
Fe(OH)₃,insoluble
Cu(OH)₂,insoluble
AgOH,partially soluble
Zn(OH)₃,insoluble
Pb(OH)₂,insoluble
Al(OH)₃,insoluble
(NH₄)₂S,soluble
Li₂S,soluble
Na₂S,soluble
K₂S,soluble
CaS,partially soluble
BaS,partially soluble
FeS,insoluble
Fe₂S₃,insoluble
CuS,insoluble
Ag₂S,insoluble
Zn₂S₃,insoluble
PbS,insoluble
Al₂S₃,insoluble
(NH₄)₂SO₃,soluble
Li₂SO₃,soluble
Na₂SO₃,soluble
K₂SO₃,soluble
MgSO₃,soluble
CaSO₃,insoluble
BaSO₃,insoluble
Ag₂SO₃,insoluble
Zn₂(SO₃)₃,insoluble
PbSO₃,insoluble
(NH₄)₂SO₄,soluble
Li₂SO₄,soluble
Na₂SO₄,soluble
K₂SO₄,soluble
MgSO₄,soluble
CaSO₄,partially soluble
BaSO₄,insoluble
FeSO₄,soluble
Fe₂(SO₄)₃,soluble
CuSO₄,soluble
Ag₂SO₄,partially soluble
Zn₂(SO₄)₃,soluble
PbSO₄,insoluble
Al₂(SO₄)₃,soluble
(NH₄)₂CO₃,soluble
Li₂CO₃,soluble
Na₂CO₃,soluble
K₂CO₃,soluble
MgCO₃,insoluble
CaCO₃,insoluble
BaCO₃,insoluble
FeCO₃,insoluble
CuCO₃,insoluble
Ag₂CO₃,insoluble
Zn₂(CO₃)₃,insoluble
PbCO₃,insoluble
NH₄NO₂,soluble
LiNO₂,soluble
NaNO₂,soluble
KNO₂,soluble
Mg(NO₂)₂,soluble
Ca(NO₂)₂,soluble
Ba(NO₂)₂,soluble
AgNO₂,insoluble
Pb(NO₂)₂,soluble
NH₄NO₃,soluble
LiNO₃,soluble
NaNO₃,soluble
KNO₃,soluble
Mg(NO₃)₂,soluble
Ca(NO₃)₂,soluble
Ba(NO₃)₂,soluble
Fe(NO₃)₂,soluble
Fe(NO₃)₃,soluble
Cu(NO₃)₂,soluble
AgNO₃,soluble
Zn(NO₃)₃,soluble
Pb(NO₃)₂,soluble
Al(NO₃)₃,soluble
(NH₄)₃PO₄,soluble
Li₃PO₄,insoluble
Na₃PO₄,soluble
K₃PO₄,soluble
Mg₃(PO₄)₂,insoluble
Ca₃(PO₄)₂,insoluble
Ba₃(PO₄)₂,insoluble
Fe₃(PO₄)₂,insoluble
FePO₄,insoluble
Cu₃(PO₄)₂,insoluble
Ag₃PO₄,insoluble
ZnPO₄,insoluble
Pb₃(PO₄)₂,insoluble
AlPO₄,insoluble
(NH₄)₂CrO₄,soluble
Li₂CrO₄,soluble
Na₂CrO₄,soluble
K₂CrO₄,soluble
MgCrO₄,soluble
CaCrO₄,soluble
BaCrO₄,insoluble
FeCrO₄,insoluble
Fe₂(CrO₄)₃,insoluble
CuCrO₄,insoluble
Ag₂CrO₄,insoluble
Zn₂(CrO₄)₃,insoluble
PbCrO₄,insoluble
NH₄CH₃COO,soluble
LiCH₃COO,soluble
NaCH₃COO,soluble
KCH₃COO,soluble
Mg(CH₃COO)₂,soluble
Ca(CH₃COO)₂,soluble
Ba(CH₃COO)₂,soluble
Fe(CH₃COO)₂,soluble
Fe(CH₃COO)₃,soluble
Cu(CH₃COO)₂,soluble
AgCH₃COO,soluble
Zn(CH₃COO)₃,soluble
Pb(CH₃COO)₂,soluble
Al(CH₃COO)₃,partially soluble
