1,Call Me,Blondie,1980
2,"Another Brick in the Wall, Part II",Pink Floyd,1980
3,Magic,Olivia Newton-John,1980
4,Rock with You,Michael Jackson,1980
5,Do That to Me One More Time,Captain & Tennille,1980
6,Crazy Little Thing Called Love,Queen,1980
7,Coming Up,Paul McCartney,1980
8,Funkytown,Lipps Inc.,1980
9,It's Still Rock and Roll to Me,Billy Joel,1980
10,The Rose,Bette Midler,1980
11,Escape (The Piña Colada Song),Rupert Holmes,1980
12,Cars,Gary Numan,1980
13,Cruisin,Smokey Robinson,1980
14,"Working My Way Back to You/Forgive Me, Girl",The Spinners,1980
15,Lost in Love,Air Supply,1980
16,Little Jeannie,Elton John,1980
17,Ride Like the Wind,Christopher Cross,1980
18,Upside Down,Diana Ross,1980
19,Please Don't Go,KC and the Sunshine Band,1980
20,Babe,Styx,1980
21,With You I'm Born Again,Billy Preston and Syreeta,1980
22,Shining Star,The Manhattans,1980
23,Still,Commodores,1980
24,"Yes, I'm Ready",Teri DeSario & KC,1980
25,Sexy Eyes,Dr. Hook,1980
26,Steal Away,Robbie Dupree,1980
27,Biggest Part of Me,Ambrosia,1980
28,This Is It,Kenny Loggins,1980
29,Cupid/I've Loved You for a Long Time,The Spinners,1980
30,Let's Get Serious,Jermaine Jackson,1980
31,Don't Fall in Love with a Dreamer,Kenny Rogers & Kim Carnes,1980
32,Sailing,Christopher Cross,1980
33,Longer,Dan Fogelberg,1980
34,Coward of the County,Kenny Rogers,1980
35,Ladies' Night,Kool & the Gang,1980
36,Too Hot,,1980
37,Take Your Time (Do It Right),The S.O.S. Band,1980
38,No More Tears (Enough Is Enough),Barbra Streisand & Donna Summer,1980
39,More Love,Kim Carnes,1980
40,Pop Muzik,M,1980
41,Brass in Pocket,The Pretenders,1980
42,Special Lady,"Ray, Goodman & Brown",1980
43,Send One Your Love,Stevie Wonder,1980
44,The Second Time Around,Shalamar,1980
45,We Don't Talk Anymore,Cliff Richard,1980
46,Stomp!,The Brothers Johnson,1980
47,Heartache Tonight,Eagles,1980
48,Tired of Toein' the Line,Rocky Burnette,1980
49,Better Love Next Time,Dr. Hook,1980
50,Him,Rupert Holmes,1980
51,Against the Wind,Bob Seger and the Silver Bullet Band,1980
52,On the Radio,Donna Summer,1980
53,Emotional Rescue,The Rolling Stones,1980
54,Rise,Herb Alpert,1980
55,All Out of Love,Air Supply,1980
56,Cool Change,Little River Band,1980
57,You're Only Lonely,J.D. Souther,1980
58,Desire,Andy Gibb,1980
59,Let My Love Open the Door,Pete Townshend,1980
60,Romeo's Tune,Steve Forbert,1980
61,Daydream Believer,Anne Murray,1980
62,I Can't Tell You Why,Eagles,1980
63,Don't Let Go,Isaac Hayes,1980
64,Don't Do Me Like That,Tom Petty and the Heartbreakers,1980
65,She's Out of My Life,Michael Jackson,1980
66,Fame,Irene Cara,1980
67,Fire Lake,Bob Seger and the Silver Bullet Band,1980
68,How Do I Make You,Linda Ronstadt,1980
69,Into the Night,Benny Mardones,1980
70,Let Me Love You Tonight,Pure Prairie League,1980
71,Misunderstanding,Genesis,1980
72,An American Dream,The Dirt Band,1980
73,One Fine Day,Carole King,1980
74,Dim All the Lights,Donna Summer,1980
75,You May Be Right,Billy Joel,1980
76,Should've Never Let You Go,Neil & Dara Sedaka,1980
77,Pilot of the Airwaves,Charlie Dore,1980
78,Hurt So Bad,Linda Ronstadt,1980
79,Off the Wall,Michael Jackson,1980
80,I Pledge My Love,Peaches & Herb,1980
81,The Long Run,Eagles,1980
82,Stand by Me,Mickey Gilley,1980
83,Heartbreaker,Pat Benatar,1980
84,Déjà Vu,Dionne Warwick,1980
85,Drivin' My Life Away,Eddie Rabbitt,1980
86,Take the Long Way Home,Supertramp,1980
87,Sara,Fleetwood Mac,1980
88,Wait for Me,Hall & Oates,1980
89,Jojo,Boz Scaggs,1980
90,September Morn,Neil Diamond,1980
91,Give Me the Night,George Benson,1980
92,Broken Hearted Me,Anne Murray,1980
93,You Decorated My Life,Kenny Rogers,1980
94,Tusk,Fleetwood Mac,1980
95,I Wanna Be Your Lover,Prince,1980
96,In America,Charlie Daniels Band,1980
97,Breakdown Dead Ahead,Boz Scaggs,1980
98,Ships,Barry Manilow,1980
99,All Night Long,Joe Walsh,1980
100,Refugee,Tom Petty and the Heartbreakers,1980
1,Bette Davis Eyes,Kim Carnes,1981
2,Endless Love,Diana Ross & Lionel Richie,1981
3,Lady,Kenny Rogers,1981
4,(Just Like) Starting Over,John Lennon,1981
5,Jessie's Girl,Rick Springfield,1981
6,Celebration,Kool & the Gang,1981
7,Kiss on My List,Hall & Oates,1981
8,I Love a Rainy Night,Eddie Rabbitt,1981
9,9 To 5,Dolly Parton,1981
10,Keep on Loving You,REO Speedwagon,1981
11,Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury,1981
12,Morning Train (Nine to Five),Sheena Easton,1981
13,Being with You,Smokey Robinson,1981
14,Queen of Hearts,Juice Newton,1981
15,Rapture,Blondie,1981
16,A Woman Needs Love (Just Like You Do),Raydio,1981
17,The Tide Is High,Blondie,1981
18,Just the Two of Us,"Grover Washington, Jr. & Bill Withers",1981
19,Slow Hand,The Pointer Sisters,1981
20,I Love You,Climax Blues Band,1981
21,Woman,John Lennon,1981
22,Sukiyaki,A Taste of Honey,1981
23,The Winner Takes It All,ABBA,1981
24,Stars on 45 Medley,Stars on 45,1981
25,Angel of the Morning,Juice Newton,1981
26,Love on the Rocks,Neil Diamond,1981
27,Every Woman in the World,Air Supply,1981
28,The One That You Love,,1981
29,Guilty,Barbra Streisand & Barry Gibb,1981
30,The Best of Times,Styx,1981
31,Elvira,The Oak Ridge Boys,1981
32,Take It on the Run,REO Speedwagon,1981
33,(There's) No Gettin' Over Me,Ronnie Milsap,1981
34,Living Inside Myself,Gino Vannelli,1981
35,Woman in Love,Barbra Streisand,1981
36,The Boy from New York City,The Manhattan Transfer,1981
37,Urgent,Foreigner,1981
38,Passion,Rod Stewart,1981
39,Lady (You Bring Me Up),Commodores,1981
40,Crying,Don McLean,1981
41,Hearts,Marty Balin,1981
42,It's My Turn,Diana Ross,1981
43,You Make My Dreams,Hall & Oates,1981
44,I Don't Need You,Kenny Rogers,1981
45,How 'Bout Us,Champaign,1981
46,Hit Me with Your Best Shot,Pat Benatar,1981
47,The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,1981
48,Time,The Alan Parsons Project,1981
49,Hungry Heart,Bruce Springsteen,1981
50,Sweetheart,Franke and the Knockouts,1981
51,Somebody's Knockin',Terri Gibbs,1981
52,More Than I Can Say,Leo Sayer,1981
53,Together,Tierra,1981
54,Too Much Time on My Hands,Styx,1981
55,What Are We Doin' in Love,Dottie West & Kenny Rogers,1981
56,Who's Crying Now,Journey,1981
57,"De Do Do Do, De Da Da Da",The Police,1981
58,This Little Girl,Gary U.S. Bonds,1981
59,Stop Draggin' My Heart Around,Stevie Nicks & Tom Petty,1981
60,Giving It Up for Your Love,Delbert McClinton,1981
61,A Little in Love,Cliff Richard,1981
